SIGNALENERGY_AVG,BIN_AVG0,BIN_AVG1,BIN_AVG2,BIN_AVG3,BIN_AVG4,BIN_AVG5,BIN_AVG6,BIN_AVG7,BIN_AVG8,BIN_AVG9,BIN_AVG10,BIN_AVG11,BIN_AVG12,BIN_AVG13,BIN_AVG14,BIN_AVG15,BIN_AVG16,BIN_AVG17,BIN_AVG18,BIN_AVG19,SIGNALENERGY_STDEV,BIN_STDEV0,BIN_STDEV1,BIN_STDEV2,BIN_STDEV3,BIN_STDEV4,BIN_STDEV5,BIN_STDEV6,BIN_STDEV7,BIN_STDEV8,BIN_STDEV9,BIN_STDEV10,BIN_STDEV11,BIN_STDEV12,BIN_STDEV13,BIN_STDEV14,BIN_STDEV15,BIN_STDEV16,BIN_STDEV17,BIN_STDEV18,BIN_STDEV19,style,file_name
0.804998,6.227017,0.723776,-0.106830,-0.027958,-0.216827,-0.280607,-0.285234,-0.285535,-0.403563,-0.257223,-0.277717,-0.258329,-0.270059,-0.239917,-0.280848,-0.260283,-0.294236,-0.286839,-0.282704,-0.274905,-0.124333,0.289110,-0.025179,0.038189,-0.133067,-0.158041,-0.133660,-0.175543,-0.180258,-0.183956,-0.188818,-0.204123,-0.199206,-0.208195,-0.199246,-0.206595,-0.219885,-0.234131,-0.236185,-0.238321,-0.244735,"blues","../../../datasets/music/blues/blues.00013.au"
0.761670,6.137295,0.785285,-0.197813,-0.011372,-0.229382,-0.271484,-0.352461,-0.350830,-0.413876,-0.239087,-0.261218,-0.281759,-0.309272,-0.275417,-0.314539,-0.291238,-0.323544,-0.315420,-0.324319,-0.321111,-0.113813,0.896806,0.013023,0.103275,-0.125577,-0.136601,-0.160281,-0.176978,-0.155536,-0.197232,-0.221827,-0.222372,-0.205863,-0.216557,-0.194752,-0.198721,-0.234681,-0.253140,-0.261907,-0.264414,-0.272960,"blues","../../../datasets/music/blues/blues.00014.au"
0.761852,6.197184,0.773607,-0.259904,-0.043855,-0.272222,-0.275413,-0.264481,-0.288571,-0.412551,-0.268101,-0.287209,-0.292742,-0.316763,-0.268723,-0.290722,-0.285332,-0.318873,-0.294896,-0.302187,-0.294086,-0.118146,0.523561,0.005376,0.064210,-0.055813,-0.081228,-0.148616,-0.171535,-0.152333,-0.179107,-0.194845,-0.194245,-0.198399,-0.216177,-0.205912,-0.212207,-0.214156,-0.220785,-0.234953,-0.242581,-0.248119,"blues","../../../datasets/music/blues/blues.00015.au"
0.752111,6.203897,0.693109,-0.204743,-0.095291,-0.263685,-0.246050,-0.297752,-0.295818,-0.368931,-0.225893,-0.275067,-0.265484,-0.299865,-0.257025,-0.283983,-0.280499,-0.314645,-0.301257,-0.314196,-0.304637,-0.123405,0.591068,0.003283,0.102941,-0.051404,-0.087597,-0.144937,-0.164037,-0.182758,-0.190736,-0.198723,-0.202846,-0.207642,-0.212103,-0.224623,-0.240634,-0.235434,-0.239090,-0.238047,-0.246739,-0.260832,"blues","../../../datasets/music/blues/blues.00016.au"
0.788862,6.150961,0.958165,-0.272640,0.074424,-0.184562,-0.293276,-0.316885,-0.281426,-0.412628,-0.267105,-0.258577,-0.269502,-0.279100,-0.259274,-0.298156,-0.277260,-0.316151,-0.313402,-0.303059,-0.301526,-0.160127,0.615022,0.007276,0.015358,-0.109184,-0.134300,-0.169818,-0.184068,-0.193337,-0.189634,-0.205464,-0.200341,-0.215498,-0.216090,-0.229577,-0.237526,-0.240678,-0.254248,-0.253416,-0.253129,-0.259102,"blues","../../../datasets/music/blues/blues.00017.au"
0.783343,6.217890,0.686244,-0.085155,-0.084361,-0.273509,-0.289888,-0.340651,-0.331765,-0.426944,-0.275568,-0.277812,-0.236406,-0.272863,-0.240837,-0.274028,-0.264423,-0.302812,-0.293005,-0.299805,-0.292246,-0.114244,0.435649,0.015153,0.035871,-0.119679,-0.145416,-0.129158,-0.147864,-0.159109,-0.159671,-0.190788,-0.203153,-0.201824,-0.196238,-0.183808,-0.180289,-0.211615,-0.232741,-0.234689,-0.245356,-0.256431,"blues","../../../datasets/music/blues/blues.00018.au"
0.779151,6.172993,0.859092,-0.276673,-0.012633,-0.270795,-0.315160,-0.310458,-0.305595,-0.373875,-0.245288,-0.283556,-0.263432,-0.283784,-0.260027,-0.291023,-0.297743,-0.316537,-0.293983,-0.309267,-0.297637,-0.142087,0.579783,-0.017596,0.096718,-0.054650,-0.063166,-0.170331,-0.176984,-0.165503,-0.199043,-0.207697,-0.201899,-0.212005,-0.209379,-0.213384,-0.224612,-0.239446,-0.243653,-0.241511,-0.240920,-0.256406,"blues","../../../datasets/music/blues/blues.00019.au"
0.756285,6.227172,0.728907,-0.096180,-0.095531,-0.262062,-0.259092,-0.279702,-0.256767,-0.354174,-0.238709,-0.272023,-0.245788,-0.290537,-0.246295,-0.280243,-0.281643,-0.310417,-0.293605,-0.302594,-0.286303,-0.119767,0.394545,-0.024497,0.008944,-0.102100,-0.136414,-0.143330,-0.168232,-0.180572,-0.184884,-0.191288,-0.192825,-0.197428,-0.202590,-0.214272,-0.230279,-0.225683,-0.233381,-0.230418,-0.237252,-0.248974,"blues","../../../datasets/music/blues/blues.00020.au"
0.817956,6.138345,0.916614,-0.161609,-0.049574,-0.215076,-0.238417,-0.280019,-0.304369,-0.393252,-0.224827,-0.271582,-0.294867,-0.321035,-0.286867,-0.312487,-0.293154,-0.316844,-0.313356,-0.326823,-0.317805,-0.153802,0.715521,0.024678,0.114849,-0.098738,-0.156409,-0.163694,-0.187692,-0.196663,-0.202188,-0.215977,-0.227534,-0.204416,-0.209618,-0.236655,-0.249664,-0.251575,-0.256117,-0.258756,-0.262249,-0.274250,"blues","../../../datasets/music/blues/blues.00021.au"
0.795003,6.163421,0.824038,-0.268292,-0.030769,-0.297038,-0.296446,-0.279002,-0.302380,-0.401444,-0.223303,-0.274494,-0.298622,-0.307097,-0.280186,-0.302432,-0.274531,-0.301521,-0.297400,-0.313581,-0.308324,-0.152805,0.687224,0.020251,0.074153,-0.111344,-0.132078,-0.124521,-0.184174,-0.174464,-0.175645,-0.189142,-0.199655,-0.191402,-0.203749,-0.220092,-0.225952,-0.232419,-0.228709,-0.246595,-0.251685,-0.262795,"blues","../../../datasets/music/blues/blues.00022.au"
0.775355,6.171447,0.880158,-0.294264,0.111573,-0.271186,-0.259111,-0.328228,-0.322166,-0.366716,-0.302762,-0.279841,-0.272675,-0.314037,-0.287708,-0.290323,-0.266034,-0.303876,-0.299409,-0.305959,-0.294057,-0.119817,0.541205,-0.025461,0.089738,-0.098754,-0.143439,-0.166706,-0.170106,-0.175198,-0.183527,-0.192840,-0.188807,-0.196869,-0.205000,-0.208039,-0.227075,-0.225499,-0.240973,-0.246079,-0.245667,-0.251270,"blues","../../../datasets/music/blues/blues.00023.au"
0.782544,6.166842,0.877104,-0.275411,0.150214,-0.243626,-0.288404,-0.346571,-0.304579,-0.339906,-0.306247,-0.308049,-0.269299,-0.308453,-0.265385,-0.277311,-0.277005,-0.314075,-0.316318,-0.309492,-0.299067,-0.148466,0.543033,-0.068287,0.144442,-0.102139,-0.130114,-0.135444,-0.165146,-0.166192,-0.198744,-0.203974,-0.213042,-0.211797,-0.218273,-0.207649,-0.215866,-0.235996,-0.238499,-0.242746,-0.252383,-0.260222,"blues","../../../datasets/music/blues/blues.00025.au"
0.774258,6.137306,0.858176,-0.275697,0.062568,-0.322194,-0.293519,-0.377723,-0.300481,-0.380477,-0.290943,-0.306376,-0.286260,-0.301007,-0.298604,-0.305430,-0.294920,-0.318230,-0.312437,-0.333622,-0.329809,-0.096458,0.775465,0.008570,0.116528,-0.085557,-0.142578,-0.106232,-0.166708,-0.153518,-0.190706,-0.199351,-0.199288,-0.212002,-0.206405,-0.184573,-0.210491,-0.227741,-0.241489,-0.255514,-0.258982,-0.267548,"blues","../../../datasets/music/blues/blues.00026.au"
0.779387,6.185854,0.840269,-0.429122,0.143163,-0.293091,-0.267239,-0.346105,-0.278323,-0.346864,-0.326863,-0.322221,-0.308381,-0.272757,-0.267539,-0.302591,-0.271384,-0.309704,-0.298602,-0.298046,-0.280225,-0.132038,0.407045,-0.022157,0.071464,-0.045989,-0.121646,-0.134375,-0.159784,-0.162109,-0.181698,-0.183904,-0.172432,-0.181643,-0.192871,-0.187334,-0.202372,-0.219837,-0.223319,-0.227264,-0.223374,-0.233978,"blues","../../../datasets/music/blues/blues.00027.au"
0.786364,6.150912,0.944548,-0.307665,0.124931,-0.179260,-0.235865,-0.325905,-0.319793,-0.376427,-0.294538,-0.319226,-0.264294,-0.295521,-0.290625,-0.284496,-0.275032,-0.307424,-0.307566,-0.322615,-0.317021,-0.116522,0.597119,-0.025534,0.058200,-0.088886,-0.136307,-0.165067,-0.193870,-0.184589,-0.212738,-0.185738,-0.193239,-0.208752,-0.213537,-0.219625,-0.234064,-0.238100,-0.247108,-0.252530,-0.257247,-0.265349,"blues","../../../datasets/music/blues/blues.00028.au"
0.859810,6.210282,0.784105,0.095148,-0.139231,-0.200494,-0.202357,-0.319427,-0.185832,-0.357622,-0.266779,-0.326278,-0.267783,-0.318775,-0.280857,-0.281212,-0.271637,-0.306063,-0.291040,-0.285799,-0.278338,-0.182379,0.203994,0.061995,-0.085547,-0.100724,-0.123032,-0.165349,-0.150815,-0.169467,-0.181793,-0.198192,-0.203076,-0.206454,-0.220994,-0.217046,-0.221585,-0.233072,-0.239828,-0.248370,-0.241109,-0.246978,"blues","../../../datasets/music/blues/blues.00030.au"
0.853172,6.209135,0.794810,0.025618,-0.117860,-0.194115,-0.202396,-0.363623,-0.275381,-0.353473,-0.264603,-0.315206,-0.264718,-0.265231,-0.261302,-0.284978,-0.284850,-0.316977,-0.308147,-0.305879,-0.284600,-0.176342,0.251317,0.029635,-0.063883,-0.112515,-0.121215,-0.159997,-0.152423,-0.161735,-0.178673,-0.187779,-0.183772,-0.211748,-0.202726,-0.194326,-0.211425,-0.225951,-0.237030,-0.239293,-0.235941,-0.243572,"blues","../../../datasets/music/blues/blues.00031.au"
0.808106,6.169158,0.789614,0.017556,-0.128482,-0.185684,-0.123552,-0.331234,-0.219381,-0.312483,-0.259255,-0.363122,-0.307011,-0.347266,-0.283027,-0.294218,-0.300741,-0.330611,-0.306019,-0.310227,-0.303056,-0.091332,0.648684,0.104882,-0.056256,-0.101884,-0.126062,-0.168260,-0.189395,-0.193049,-0.202449,-0.212876,-0.224026,-0.226579,-0.240284,-0.228090,-0.251605,-0.261364,-0.258859,-0.264577,-0.259618,-0.276065,"blues","../../../datasets/music/blues/blues.00032.au"
0.821284,6.216868,0.679078,0.033942,-0.178446,-0.215975,-0.152234,-0.350968,-0.235783,-0.380761,-0.258875,-0.318165,-0.282028,-0.306207,-0.288295,-0.283248,-0.284248,-0.313776,-0.293045,-0.296981,-0.283078,-0.149996,0.417422,0.001415,-0.060632,-0.084339,-0.127969,-0.146974,-0.145595,-0.156321,-0.183754,-0.194489,-0.185465,-0.201387,-0.196818,-0.204850,-0.218178,-0.226043,-0.238980,-0.238709,-0.240568,-0.246829,"blues","../../../datasets/music/blues/blues.00034.au"
0.830019,6.229806,0.725893,0.028173,-0.197226,-0.216293,-0.163887,-0.316959,-0.199760,-0.334982,-0.266972,-0.303979,-0.247866,-0.274149,-0.243168,-0.278001,-0.271533,-0.294968,-0.280954,-0.288763,-0.273661,-0.171076,0.216449,0.037159,-0.062892,-0.148823,-0.129552,-0.151915,-0.173270,-0.189970,-0.181287,-0.180888,-0.207143,-0.198772,-0.203033,-0.209272,-0.210432,-0.231475,-0.236530,-0.240318,-0.241083,-0.246646,"blues","../../../datasets/music/blues/blues.00035.au"
0.861924,6.205228,0.784827,0.069687,-0.168493,-0.219846,-0.164809,-0.352101,-0.214338,-0.356605,-0.301139,-0.341053,-0.290598,-0.294211,-0.248143,-0.255788,-0.268521,-0.310898,-0.296756,-0.292442,-0.285920,-0.168068,0.309350,-0.003150,-0.135805,-0.076081,-0.145701,-0.170457,-0.128756,-0.160415,-0.189218,-0.190933,-0.199331,-0.200998,-0.196934,-0.195736,-0.213516,-0.229556,-0.235005,-0.236038,-0.244531,-0.249127,"blues","../../../datasets/music/blues/blues.00036.au"
0.837603,6.221000,0.693866,0.077169,-0.161684,-0.167641,-0.147950,-0.350744,-0.246867,-0.311532,-0.239578,-0.330799,-0.273796,-0.290147,-0.246699,-0.265399,-0.278989,-0.315047,-0.293447,-0.295628,-0.279515,-0.165580,0.321809,0.045614,-0.095691,-0.121062,-0.140790,-0.144005,-0.173452,-0.168362,-0.180378,-0.189847,-0.203080,-0.207011,-0.216880,-0.222172,-0.232237,-0.241856,-0.244609,-0.249797,-0.249096,-0.255693,"blues","../../../datasets/music/blues/blues.00038.au"
0.765743,6.290218,0.327777,-0.138896,0.093847,-0.237137,-0.140906,-0.277725,-0.221053,-0.301008,-0.226258,-0.285372,-0.257795,-0.246042,-0.230657,-0.287389,-0.248454,-0.260036,-0.253066,-0.267481,-0.266314,-0.191731,0.170614,-0.067632,-0.062610,-0.117649,-0.132536,-0.154616,-0.153675,-0.181836,-0.181892,-0.171997,-0.181464,-0.192413,-0.179794,-0.211971,-0.212467,-0.212422,-0.215127,-0.222795,-0.228293,-0.229692,"blues","../../../datasets/music/blues/blues.00040.au"
0.756237,6.299163,0.324788,-0.160870,-0.058580,-0.220022,-0.156266,-0.232849,-0.187349,-0.313302,-0.228156,-0.278826,-0.227245,-0.228336,-0.225198,-0.295191,-0.251731,-0.269575,-0.259934,-0.264438,-0.264968,-0.195338,0.122826,-0.039951,-0.047465,-0.117865,-0.136705,-0.157802,-0.146432,-0.167417,-0.165980,-0.169053,-0.167629,-0.178476,-0.189584,-0.206980,-0.202721,-0.205434,-0.211795,-0.217360,-0.225903,-0.230286,"blues","../../../datasets/music/blues/blues.00041.au"
0.778307,6.290283,0.271997,-0.180279,0.091610,-0.133362,-0.098464,-0.262183,-0.182021,-0.271937,-0.232714,-0.344240,-0.292644,-0.242816,-0.209389,-0.291422,-0.242116,-0.262039,-0.269093,-0.294584,-0.287905,-0.212656,0.176784,-0.073331,-0.029643,-0.152108,-0.154589,-0.176553,-0.159603,-0.174318,-0.168272,-0.176312,-0.172992,-0.197169,-0.179195,-0.193990,-0.199026,-0.222095,-0.210308,-0.213979,-0.220060,-0.225574,"blues","../../../datasets/music/blues/blues.00042.au"
0.760637,6.289217,0.370684,-0.143454,-0.071041,-0.194160,-0.130170,-0.249138,-0.177055,-0.288707,-0.222519,-0.320596,-0.252398,-0.256186,-0.232204,-0.274156,-0.247651,-0.272490,-0.260230,-0.263259,-0.259488,-0.188714,0.232666,-0.075195,-0.045648,-0.144955,-0.150034,-0.152135,-0.158973,-0.179697,-0.185902,-0.179453,-0.186594,-0.190451,-0.194171,-0.199131,-0.207479,-0.215789,-0.216596,-0.213708,-0.221829,-0.231848,"blues","../../../datasets/music/blues/blues.00043.au"
0.832668,6.276303,0.392103,-0.068188,0.177347,-0.127858,-0.111128,-0.295721,-0.211576,-0.283706,-0.235574,-0.301484,-0.265832,-0.214765,-0.207500,-0.275583,-0.244290,-0.269271,-0.269177,-0.274564,-0.268729,-0.187872,0.030750,-0.073732,-0.091676,-0.166479,-0.173480,-0.188554,-0.177725,-0.189140,-0.189783,-0.199168,-0.187978,-0.198873,-0.203415,-0.214680,-0.214838,-0.225440,-0.221056,-0.222913,-0.225994,-0.231429,"blues","../../../datasets/music/blues/blues.00045.au"
0.788182,6.280903,0.414296,-0.053525,0.108876,-0.223506,-0.152005,-0.291074,-0.215747,-0.327905,-0.249991,-0.321900,-0.251925,-0.247293,-0.226308,-0.286898,-0.246449,-0.268460,-0.257426,-0.278784,-0.275315,-0.199984,0.085691,-0.072667,-0.089402,-0.130557,-0.135547,-0.163939,-0.160933,-0.153756,-0.175716,-0.181171,-0.179347,-0.189670,-0.192193,-0.197940,-0.205585,-0.208184,-0.210495,-0.213130,-0.221249,-0.221972,"blues","../../../datasets/music/blues/blues.00047.au"
0.751025,6.291416,0.408548,-0.253386,-0.018469,-0.234509,-0.151450,-0.275001,-0.205260,-0.293297,-0.206730,-0.280518,-0.215742,-0.262385,-0.237868,-0.275510,-0.246815,-0.266302,-0.250221,-0.251807,-0.256384,-0.191861,0.141510,-0.067386,-0.040011,-0.128409,-0.132990,-0.159660,-0.144220,-0.155206,-0.172962,-0.177210,-0.178385,-0.182256,-0.188801,-0.199063,-0.204361,-0.206071,-0.213520,-0.217810,-0.222195,-0.228465,"blues","../../../datasets/music/blues/blues.00048.au"
0.779249,6.277038,0.453303,-0.330160,-0.032816,-0.189155,-0.131993,-0.273214,-0.202264,-0.278464,-0.228278,-0.286526,-0.227146,-0.255429,-0.237442,-0.262879,-0.253939,-0.272008,-0.260018,-0.259918,-0.253733,-0.156326,0.228747,-0.057650,-0.064056,-0.096652,-0.142215,-0.168398,-0.158482,-0.178023,-0.178912,-0.184995,-0.193039,-0.194730,-0.201354,-0.201245,-0.212770,-0.214583,-0.217067,-0.221851,-0.226837,-0.233769,"blues","../../../datasets/music/blues/blues.00050.au"
0.779012,6.287147,0.446491,-0.365285,0.007182,-0.231701,-0.239709,-0.278587,-0.195357,-0.227622,-0.184398,-0.241982,-0.214061,-0.281767,-0.241642,-0.257767,-0.238717,-0.243289,-0.241262,-0.253709,-0.246639,-0.187689,0.053263,-0.046889,-0.089930,-0.145332,-0.143074,-0.143519,-0.151016,-0.165142,-0.170406,-0.175238,-0.182470,-0.176675,-0.180208,-0.184496,-0.200823,-0.197399,-0.202668,-0.212017,-0.214481,-0.220126,"blues","../../../datasets/music/blues/blues.00051.au"
0.778674,6.186625,0.719873,-0.368849,0.103335,-0.207864,-0.211257,-0.242250,-0.237320,-0.299962,-0.246846,-0.316416,-0.285542,-0.330132,-0.301501,-0.296082,-0.278535,-0.269128,-0.275132,-0.306192,-0.294496,-0.145046,0.627889,0.076309,0.044983,-0.150072,-0.117992,-0.142034,-0.189021,-0.191202,-0.202759,-0.218738,-0.219224,-0.235030,-0.224839,-0.228066,-0.249724,-0.250071,-0.238918,-0.249852,-0.254823,-0.262770,"blues","../../../datasets/music/blues/blues.00052.au"
0.750101,6.278750,0.406326,-0.423101,-0.011830,-0.241231,-0.207897,-0.293274,-0.217036,-0.271455,-0.213677,-0.263825,-0.220816,-0.279157,-0.251667,-0.262643,-0.249603,-0.254699,-0.239528,-0.255957,-0.252967,-0.151609,0.252535,-0.021900,-0.040090,-0.052325,-0.119149,-0.146756,-0.142673,-0.162239,-0.176815,-0.187069,-0.183316,-0.190393,-0.196320,-0.196503,-0.204537,-0.210365,-0.216960,-0.222035,-0.224586,-0.231708,"blues","../../../datasets/music/blues/blues.00053.au"
0.776442,6.282732,0.419555,-0.374594,0.004370,-0.167166,-0.179757,-0.308211,-0.216932,-0.245156,-0.193879,-0.245550,-0.210499,-0.274388,-0.244267,-0.268990,-0.248971,-0.260108,-0.249837,-0.260484,-0.253325,-0.172390,0.158701,-0.018336,-0.069634,-0.117060,-0.126145,-0.170256,-0.148156,-0.170826,-0.183743,-0.182561,-0.184981,-0.181790,-0.198201,-0.206264,-0.213089,-0.209953,-0.211038,-0.221343,-0.225165,-0.228754,"blues","../../../datasets/music/blues/blues.00054.au"
0.770314,6.261584,0.494929,-0.276226,0.009871,-0.230090,-0.192319,-0.269536,-0.211470,-0.280314,-0.220477,-0.297511,-0.254106,-0.281125,-0.244650,-0.270836,-0.268421,-0.267413,-0.264374,-0.284282,-0.273559,-0.172157,0.342756,0.012756,-0.075697,-0.085430,-0.129803,-0.132653,-0.156772,-0.165701,-0.173823,-0.196922,-0.210217,-0.194926,-0.209314,-0.211984,-0.230900,-0.225912,-0.227207,-0.230494,-0.237408,-0.238184,"blues","../../../datasets/music/blues/blues.00056.au"
0.768086,6.264799,0.486953,-0.372069,-0.011807,-0.204594,-0.171868,-0.303805,-0.193536,-0.273638,-0.237625,-0.276086,-0.238528,-0.280069,-0.249400,-0.269288,-0.260567,-0.270878,-0.261939,-0.273656,-0.263787,-0.155860,0.295940,0.004635,-0.037123,-0.078010,-0.108445,-0.150242,-0.153613,-0.171355,-0.187008,-0.182379,-0.195344,-0.199669,-0.207503,-0.210705,-0.216254,-0.223023,-0.226603,-0.231481,-0.234255,-0.238400,"blues","../../../datasets/music/blues/blues.00057.au"
0.760467,6.264555,0.507194,-0.329236,0.006199,-0.232852,-0.231225,-0.296831,-0.243203,-0.322021,-0.245157,-0.258900,-0.228018,-0.271102,-0.248665,-0.282812,-0.252366,-0.263886,-0.253269,-0.255834,-0.257025,-0.146179,0.297970,0.024080,-0.043893,-0.133563,-0.149938,-0.133276,-0.168749,-0.172502,-0.177044,-0.175649,-0.188032,-0.187407,-0.190432,-0.201588,-0.211801,-0.207595,-0.217536,-0.224474,-0.225904,-0.232501,"blues","../../../datasets/music/blues/blues.00058.au"
0.761745,6.287106,0.350888,-0.310046,0.040051,-0.203918,-0.191731,-0.286868,-0.215606,-0.266768,-0.206725,-0.273547,-0.239598,-0.276886,-0.259867,-0.263850,-0.249892,-0.245911,-0.244112,-0.261225,-0.252729,-0.153918,0.229585,-0.041902,-0.078319,-0.125349,-0.107358,-0.131068,-0.140858,-0.175598,-0.174026,-0.187071,-0.191839,-0.189724,-0.201510,-0.202986,-0.208602,-0.213603,-0.211960,-0.225598,-0.227563,-0.231247,"blues","../../../datasets/music/blues/blues.00059.au"
